DIA_TRANSPORTE,DIA_SEMANA,NOMBRE_EMPRESA,LINEA,AMBA,TIPO_TRANSPORTE,JURISDICCION,PROVINCIA,MUNICIPIO,CANTIDAD,DATO_PRELIMINAR
2022-01-01,Saturday,SOFSE - Mitre,FCC MITRE_TIGRE,SI,TREN,NACIONAL,JN,SD,7319,NO
2022-01-01,Saturday,SOFSE - Roca,FFCC ROCA,SI,TREN,NACIONAL,JN,SD,41647,NO
2022-01-01,Saturday,SOFSE- SARMIENTO,FFCC SAR  MERLO - LOBOS,SI,TREN,NACIONAL,JN,SD,454,NO
2022-01-01,Saturday,SOFSE- SARMIENTO,FFCC SAR MORENO - MERCEDES,SI,TREN,NACIONAL,JN,SD,18,NO
2022-01-01,Saturday,SOFSE- SARMIENTO,FFCC SAR,SI,TREN,NACIONAL,JN,SD,4951,NO
2022-01-01,Saturday,SOFSE - TREN DEL VALLE,FFCC TREN DEL VALLE,NO,TREN,NACIONAL,JN,SD,2,NO
2022-01-01,Saturday,METROVIAS S.A. (URQUIZA),FFCC URQUIZA,SI,TREN,NACIONAL,JN,SD,5459,NO
2022-01-01,Saturday,SOFSE - Belgrano Sur,FFCC_BELG_SUR,SI,TREN,NACIONAL,JN,SD,5179,NO
2022-01-01,Saturday,FERROVIAS S.A.,FFCC_BELGRANO_NORTE,SI,TREN,NACIONAL,JN,SD,6498,NO
2022-01-01,Saturday,SOFSE - Mitre,FFCC_MITRE,SI,TREN,NACIONAL,JN,SD,37,NO
2022-01-01,Saturday,SOFSE - Mitre,FFCC_MITRE_ZARATE,SI,TREN,NACIONAL,JN,SD,32,NO
2022-01-01,Saturday,SOFSE - Roca,FFCC_ROCA_CAÑUELAS-LOBOS,SI,TREN,NACIONAL,JN,SD,5,NO
2022-01-01,Saturday,SOFSE - Roca,FFCC_ROCA_CAÑUELAS-MONTE,SI,TREN,NACIONAL,JN,SD,24,NO
2022-01-01,Saturday,SOFSE - Roca,FFCC_ROCA_KORN-CHASCOMUS,SI,TREN,NACIONAL,JN,SD,234,NO
2022-01-01,Saturday,SOFSE - San Martin,FFCC_SANM,SI,TREN,NACIONAL,JN,SD,4370,NO
2022-01-01,Saturday,SOFSE - Mitre,FFCC_SUAREZ,SI,TREN,NACIONAL,JN,SD,2643,NO
2022-01-01,Saturday,SOFSE- TREN DE LA COSTA,FFCC_TREN_COSTA,SI,TREN,NACIONAL,JN,SD,391,NO
2022-01-02,Sunday,SOFSE - Mitre,FCC MITRE_TIGRE,SI,TREN,NACIONAL,JN,SD,26437,NO
2022-01-02,Sunday,SOFSE - Roca,FFCC ROCA,SI,TREN,NACIONAL,JN,SD,69900,NO
2022-01-02,Sunday,SOFSE- SARMIENTO,FFCC SAR  MERLO - LOBOS,SI,TREN,NACIONAL,JN,SD,775,NO
2022-01-02,Sunday,SOFSE- SARMIENTO,FFCC SAR MORENO - MERCEDES,SI,TREN,NACIONAL,JN,SD,26,NO
2022-01-02,Sunday,SOFSE- SARMIENTO,FFCC SAR,SI,TREN,NACIONAL,JN,SD,9466,NO
2022-01-02,Sunday,METROVIAS S.A. (URQUIZA),FFCC URQUIZA,SI,TREN,NACIONAL,JN,SD,8805,NO
2022-01-02,Sunday,SOFSE - Belgrano Sur,FFCC_BELG_SUR,SI,TREN,NACIONAL,JN,SD,9645,NO
2022-01-02,Sunday,FERROVIAS S.A.,FFCC_BELGRANO_NORTE,SI,TREN,NACIONAL,JN,SD,17247,NO
2022-01-02,Sunday,SOFSE - Mitre,FFCC_MITRE,SI,TREN,NACIONAL,JN,SD,153,NO
2022-01-02,Sunday,SOFSE - Mitre,FFCC_MITRE_ZARATE,SI,TREN,NACIONAL,JN,SD,98,NO
2022-01-02,Sunday,SOFSE - Roca,FFCC_ROCA_CAÑUELAS-LOBOS,SI,TREN,NACIONAL,JN,SD,20,NO
2022-01-02,Sunday,SOFSE - Roca,FFCC_ROCA_CAÑUELAS-MONTE,SI,TREN,NACIONAL,JN,SD,67,NO
2022-01-02,Sunday,SOFSE - Roca,FFCC_ROCA_KORN-CHASCOMUS,SI,TREN,NACIONAL,JN,SD,1023,NO
2022-01-02,Sunday,SOFSE - San Martin,FFCC_SANM,SI,TREN,NACIONAL,JN,SD,10442,NO
2022-01-02,Sunday,SOFSE - Mitre,FFCC_SUAREZ,SI,TREN,NACIONAL,JN,SD,7663,NO
2022-01-02,Sunday,SOFSE- TREN DE LA COSTA,FFCC_TREN_COSTA,SI,TREN,NACIONAL,JN,SD,3120,NO
2022-01-03,Monday,SOFSE - Mitre,FCC MITRE_TIGRE,SI,TREN,NACIONAL,JN,SD,48823,NO
2022-01-03,Monday,SOFSE - Roca,FFCC ROCA,SI,TREN,NACIONAL,JN,SD,303404,NO
2022-01-03,Monday,SOFSE- SARMIENTO,FFCC SAR  MERLO - LOBOS,SI,TREN,NACIONAL,JN,SD,1247,NO
2022-01-03,Monday,SOFSE- SARMIENTO,FFCC SAR MORENO - MERCEDES,SI,TREN,NACIONAL,JN,SD,35,NO
2022-01-03,Monday,SOFSE- SARMIENTO,FFCC SAR,SI,TREN,NACIONAL,JN,SD,145551,NO
2022-01-03,Monday,SOFSE - TREN DEL VALLE,FFCC TREN DEL VALLE,NO,TREN,NACIONAL,JN,SD,623,NO
2022-01-03,Monday,METROVIAS S.A. (URQUIZA),FFCC URQUIZA,SI,TREN,NACIONAL,JN,SD,36483,NO
2022-01-03,Monday,SOFSE - Belgrano Sur,FFCC_BELG_SUR,SI,TREN,NACIONAL,JN,SD,34159,NO
2022-01-03,Monday,FERROVIAS S.A.,FFCC_BELGRANO_NORTE,SI,TREN,NACIONAL,JN,SD,59029,NO
2022-01-03,Monday,SOFSE - Mitre,FFCC_MITRE,SI,TREN,NACIONAL,JN,SD,478,NO
2022-01-03,Monday,SOFSE - Mitre,FFCC_MITRE_ZARATE,SI,TREN,NACIONAL,JN,SD,207,NO
2022-01-03,Monday,SOFSE - Roca,FFCC_ROCA_CAÑUELAS-LOBOS,SI,TREN,NACIONAL,JN,SD,41,NO
